City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
247,Kirovskiy,RU,2021-07-12 23:25:04,45.0917,133.5136,77.54,78,8,4.38
248,Christchurch,NZ,2021-07-12 23:21:59,-43.5333,172.6333,49.32,71,23,4.0
249,Gidole,ET,2021-07-12 23:25:04,5.65,37.3667,61.3,51,98,3.67
250,Ahipara,NZ,2021-07-12 23:25:04,-35.1667,173.1667,54.48,66,100,16.62
251,Gospic,HR,2021-07-12 23:25:04,44.5461,15.3747,64.09,63,0,2.55
252,Prata,BR,2021-07-12 23:25:05,-19.3072,-48.9242,68.43,31,0,3.78
253,Garowe,SO,2021-07-12 23:25:05,8.4054,48.4845,78.51,51,99,29.42
254,Dalby,AU,2021-07-12 23:25:05,-27.1833,151.2667,56.1,63,0,4.72
255,Marau,BR,2021-07-12 23:25:05,-28.4492,-52.2,56.62,83,77,3.85
256,Los Andes,CL,2021-07-12 23:23:20,-32.8337,-70.5983,52.9,68,6,1.19
257,Komatipoort,ZA,2021-07-12 23:25:06,-25.4332,31.9548,56.05,45,0,4.7
258,Hirara,JP,2021-07-12 23:25:06,24.8,125.2833,85.86,79,40,5.75
259,Nerchinskiy Zavod,RU,2021-07-12 23:25:06,51.3088,119.61,62.8,99,100,2.26
260,Zhezkazgan,KZ,2021-07-12 23:25:06,47.8043,67.7144,65.43,55,87,9.86
261,Evensk,RU,2021-07-12 23:25:07,61.95,159.2333,51.12,94,100,5.82
262,Souillac,MU,2021-07-12 23:25:07,-20.5167,57.5167,70.18,68,40,11.5
263,Portland,US,2021-07-12 23:22:15,45.5234,-122.6762,92.89,40,1,3.0
264,Gao,ML,2021-07-12 23:25:07,16.6362,1.637,86.97,44,83,13.51
265,Petropavlovsk-Kamchatskiy,RU,2021-07-12 23:25:07,53.0452,158.6483,72.19,64,0,4.47
266,Gornopravdinsk,RU,2021-07-12 23:25:08,60.05,69.9,45.99,89,59,8.23
267,Barcelos,PT,2021-07-12 23:21:19,41.5388,-8.6151,60.85,93,85,6.78
268,Ucluelet,CA,2021-07-12 23:25:08,48.9329,-125.5528,92.05,76,22,1.99
269,Auray,FR,2021-07-12 23:25:08,47.6703,-2.9918,60.75,90,31,7.96
270,Nadym,RU,2021-07-12 23:25:08,65.5333,72.5167,44.44,71,99,7.56
271,Smirnykh,RU,2021-07-12 23:25:09,49.75,142.8333,75.27,72,15,1.57
272,Grindavik,IS,2021-07-12 23:25:09,63.8424,-22.4338,51.75,93,75,11.5
273,Rabo De Peixe,PT,2021-07-12 23:25:09,37.8,-25.5833,65.71,82,20,8.05
274,Katsuura,JP,2021-07-12 23:25:09,35.1333,140.3,80.19,88,100,7.38
275,Longyearbyen,SJ,2021-07-12 23:25:10,78.2186,15.6401,42.64,87,75,3.44
276,Rawson,AR,2021-07-12 23:25:10,-43.3002,-65.1023,48.76,47,1,9.69
277,Sao Joao Da Barra,BR,2021-07-12 23:25:10,-21.6403,-41.0511,69.82,86,0,7.43
278,Abha,SA,2021-07-12 23:25:10,18.2164,42.5053,69.62,64,20,0.0
279,Lahaina,US,2021-07-12 23:25:11,20.8783,-156.6825,87.8,51,40,18.41
280,Paamiut,GL,2021-07-12 23:25:11,61.994,-49.6678,40.87,91,100,9.84
281,Chapais,CA,2021-07-12 23:25:11,49.7834,-74.8492,76.78,33,0,2.82
282,Taoudenni,ML,2021-07-12 23:25:11,22.6783,-3.9836,101.46,15,17,5.53
283,Lubango,AO,2021-07-12 23:25:12,-14.9172,13.4925,55.22,29,80,3.96
284,Yambio,SS,2021-07-12 23:25:12,4.5721,28.3955,66.42,98,70,3.22
285,Chicama,PE,2021-07-12 23:25:12,-7.8447,-79.1469,64.94,80,100,8.5
286,Mana,GF,2021-07-12 23:25:12,5.6592,-53.7767,78.53,86,81,6.71
287,Savannakhet,LA,2021-07-12 23:25:13,16.566,104.751,75.74,93,97,5.48
288,Hoi An,VN,2021-07-12 23:25:13,15.8794,108.335,78.76,87,87,6.38
289,Mar Del Plata,AR,2021-07-12 23:25:13,-38.0023,-57.5575,53.13,74,100,4.0
